country,officialName,continent
Netherlands,Netherlands,Europe
Cambodia,Kingdom of Cambodia,Asia
Zimbabwe,Republic of Zimbabwe,Africa
Guinea,Republic of Guinea,Africa
Rwanda,Republic of Rwanda,Africa
Benin,Republic of Benin,Africa
Burundi,Republic of Burundi,Africa
Bolivia,Plurinational State of Bolivia,South America
Tunisia,Tunisian Republic,Africa
Haiti,Republic of Haiti,North America
Belgium,Kingdom of Belgium,Europe
Dominican Republic,Dominican Republic,North America
Jordan,Hashemite Kingdom of Jordan,Asia
South Sudan,Republic of South Sudan,Africa
Cuba,Republic of Cuba,North America
Honduras,Republic of Honduras,North America
Sweden,Kingdom of Sweden,Europe
Papua New Guinea,Independent State of Papua New Guinea,Oceania
Czech Republic,Czech Republic,Europe
Azerbaijan,Republic of Azerbaijan,Asia
Tajikistan,Republic of Tajikistan,Asia
Greece,Hellenic Republic,Europe
Portugal,Portuguese Republic,Europe
Hungary,Hungary,Europe
United Arab Emirates,United Arab Emirates,Asia
Belarus,Republic of Belarus,Europe
Israel,State of Israel,Asia
Togo,Togolese Republic,Africa
Sierra Leone,Republic of Sierra Leone,Africa
Austria,Republic of Austria,Europe
Switzerland,Swiss Confederation,Europe
Laos,Lao People's Democratic Republic,Asia
Hong Kong,Hong Kong Special Administrative Region of the People's Republic of China,Asia
Nicaragua,Republic of Nicaragua,North America
Serbia,Republic of Serbia,Europe
Libya,State of Libya,Africa
Paraguay,Republic of Paraguay,South America
Kyrgyzstan,Kyrgyz Republic,Asia
Bulgaria,Republic of Bulgaria,Europe
Turkmenistan,Turkmenistan,Asia
El Salvador,Republic of El Salvador,North America
Republic of the Congo,Republic of the Congo,Africa
Singapore,Republic of Singapore,Asia
Denmark,Kingdom of Denmark,Europe
Central African Republic,Central African Republic,Africa
Slovakia,Slovak Republic,Europe
Finland,Republic of Finland,Europe
Liberia,Republic of Liberia,Africa
Norway,Kingdom of Norway,Europe
Palestine,State of Palestine,Asia
New Zealand,New Zealand,Oceania
Costa Rica,Republic of Costa Rica,North America
Lebanon,Lebanese Republic,Asia
Ireland,Ireland,Europe
Mauritania,Islamic Republic of Mauritania,Africa
Oman,Sultanate of Oman,Asia
Panama,Republic of Panama,North America
Kuwait,State of Kuwait,Asia
Croatia,Republic of Croatia,Europe
Eritrea,State of Eritrea,Africa
Georgia,Georgia,Asia
Mongolia,Mongolia,Asia
Uruguay,Oriental Republic of Uruguay,South America
Moldova,Republic of Moldova,Europe
Puerto Rico,Commonwealth of Puerto Rico,North America
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe
Gambia,Republic of the Gambia,Africa
Albania,Republic of Albania,Europe
Jamaica,Jamaica,North America
Armenia,Republic of Armenia,Asia
Qatar,State of Qatar,Asia
Botswana,Republic of Botswana,Africa
Lithuania,Republic of Lithuania,Europe
Namibia,Republic of Namibia,Africa
Gabon,Gabonese Republic,Africa
Lesotho,Kingdom of Lesotho,Africa
Guinea-Bissau,Republic of Guinea-Bissau,Africa
Slovenia,Republic of Slovenia,Europe
North Macedonia,Republic of North Macedonia,Europe
Latvia,Republic of Latvia,Europe
Equatorial Guinea,Republic of Equatorial Guinea,Africa
Trinidad and Tobago,Republic of Trinidad and Tobago,North America
Bahrain,Kingdom of Bahrain,Asia
Timor-Leste,Democratic Republic of Timor-Leste,Asia
Estonia,Republic of Estonia,Europe
Mauritius,Republic of Mauritius,Africa
Cyprus,Republic of Cyprus,Europe
Eswatini,Kingdom of Eswatini,Africa
Djibouti,Republic of Djibouti,Africa
Reunion,Réunion Island,Africa
Fiji,Republic of Fiji,Oceania
Comoros,Union of the Comoros,Africa
Guyana,Co-operative Republic of Guyana,South America
Bhutan,Kingdom of Bhutan,Asia
Solomon Islands,Solomon Islands,Oceania
Macau,Macao Special Administrative Region of the People's Republic of China,Asia
Luxembourg,Grand Duchy of Luxembourg,Europe
Suriname,Republic of Suriname,South America
Montenegro,Montenegro,Europe
Cape Verde,Republic of Cabo Verde,Africa
Western Sahara,Sahrawi Arab Democratic Republic,Africa
Malta,Republic of Malta,Europe
Maldives,Republic of the Maldives,Asia
Brunei,"Nation of Brunei, Abode of Peace",Asia
Belize,Belize,North America
Bahamas,Commonwealth of the Bahamas,North America
Guadeloupe,Guadeloupe,North America
Iceland,Iceland,Europe
Martinique,Martinique,North America
Mayotte,Department of Mayotte,Africa
Vanuatu,Republic of Vanuatu,Oceania
French Guiana,Guiana,South America
French Polynesia,French Polynesia,Oceania
New Caledonia,New Caledonia,Oceania
Barbados,Barbados,North America
Sao Tome and Principe,Democratic Republic of São Tomé and Príncipe,Africa
Samoa,Independent State of Samoa,Oceania
Curacao,Country of Curaçao,North America
Saint Lucia,Saint Lucia,North America
Guam,Guam,Oceania
Kiribati,Independent and Sovereign Republic of Kiribati,Oceania
Grenada,Grenada,North America
Micronesia,Federated States of Micronesia,Oceania
Jersey,Bailiwick of Jersey,Europe
Tonga,Kingdom of Tonga,Oceania
Seychelles,Republic of Seychelles,Africa
Aruba,Aruba,North America
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,North America
United States Virgin Islands,Virgin Islands of the United States,North America
Antigua and Barbuda,Antigua and Barbuda,North America
Isle of Man,Isle of Man,Europe
Andorra,Principality of Andorra,Europe
Dominica,Commonwealth of Dominica,North America
Cayman Islands,Cayman Islands,North America
Bermuda,Bermuda,North America
Guernsey,Bailiwick of Guernsey,Europe
Greenland,Greenland,North America
Faroe Islands,Faroe Islands,Europe
Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,Oceania
Saint Kitts and Nevis,Federation of Saint Christopher and Nevisa,North America
Turks and Caicos Islands,Turks and Caicos Islands,North America
Sint Maarten,Sint Maarten,North America
American Samoa,American Samoa,Oceania
Marshall Islands,Republic of the Marshall Islands,Oceania
Liechtenstein,Principality of Liechtenstein,Europe
Monaco,Principality of Monaco,Europe
San Marino,Most Serene Republic of San Marino,Europe
Gibraltar,Gibraltar,Europe
Saint Martin,Saint Martin,North America
British Virgin Islands,Virgin Islands,North America
Palau,Republic of Palau,Oceania
Cook Islands,Cook Islands,Oceania
Anguilla,Anguilla,North America
Nauru,Republic of Nauru,Oceania
Tuvalu,Tuvalu,Oceania
Wallis and Futuna,Territory of the Wallis and Futuna Islands,Oceania
Saint Barthelemy,Collectivity of Saint BarthélemySaint Barthélemy,North America
Saint Pierre and Miquelon,Saint Pierre and Miquelon,North America
Montserrat,Montserrat,North America
Falkland Islands,Falkland Islands,South America
Niue,Niue,Oceania
Tokelau,Tokelau,Oceania
Vatican City,Vatican City State,Europe
